Naam,Prijs,Foto,Review,Kleur
Herenthermoshirt voor skiën BL 100 zwart,"€6,99",https://contents.mediadecathlon.com/p1691723/k$76339ac8f2a8cdd63d1f1685646bd279/sq/herenthermoshirt-voor-skien-bl-100-zwart.jpg?format=auto&f=800x0,[],NA
Merino thermoshirt voor skiën heren 900 opstaande kraag marineblauw,"€54,99",https://contents.mediadecathlon.com/p2295528/k$fd4a31e7afb951b021fa049dbfefcfb8/sq/merino-thermoshirt-voor-skien-heren-900-opstaande-kraag-marineblauw.jpg?format=auto&f=800x0,"['Top', 'ik vind het geen fijn shirt, mouwinzet is veel te strak, zelf bij een grotere maat.\nTeruggestuurd en maat groter besteld, nog steeds geen fijne pasvorm, terwijl ik een slank postuur heb.']",darkslategray
Thermoshirt kind Keepdry 500 lange mouwen wit,"€14,99",https://contents.mediadecathlon.com/p2321230/k$a48c527ffcea282d4f369b11317e2f23/sq/thermoshirt-kind-keepdry-500-lange-mouwen-wit.jpg?format=auto&f=800x0,"['Gelukkig eerst in een decathlon winkel gepast .\nDaar erachter gekomen dat deze wel erg klein uitvallen.\nVergelijking : Craft zweetshirt maat S , Decathlon maat L\n\nNu het shirt ; in 1 woord GEWELDIG\nRedelijk warm , goed ademend , iets minder vochtafvoer.\nPasvorm Goed', 'Gied shirt']",linen
ADEMEND HARDLOOPSHIRT VOOR DAMES KIPRUN SKINCARE ZWART,"€19,99",https://contents.mediadecathlon.com/p1764093/k$bd17333fb4ec4274fab06d61b2053782/sq/ademend-hardloopshirt-voor-dames-kiprun-skincare-zwart.jpg?format=auto&f=800x0,"['Ik ben erg tevreden over het Thermoshirt, Goede prijs/kwaliteit verhouding']",lavender
Fiets ondershirt dames 500 zwart voor warm weer of indoor,"€14,99",https://contents.mediadecathlon.com/p1765117/k$be2ec019aaba384f7942af89ef55d7ce/sq/fiets-ondershirt-dames-500-zwart-voor-warm-weer-of-indoor.jpg?format=auto&f=800x0,"['Parfait et bonne taille', 'Bon produit!']",black
Thermoshirt voor skiën voor dames 500 koraalrood,"€14,99",https://contents.mediadecathlon.com/p2041466/k$e466d5ac01806580dcce40cc1293c565/sq/thermoshirt-voor-skien-voor-dames-500-koraalrood.jpg?format=auto&f=800x0,"['Redelijk', 'ok']",tomato
Wielren ondershirt voor fris weer,"€19,99",https://contents.mediadecathlon.com/p1625570/k$d818d6352d423bb07d92500565343a16/sq/wielren-ondershirt-voor-fris-weer.jpg?format=auto&f=800x0,['Doet wat het moet doen'],lavender
Mouwloos ondershirt voor basketbal kinderen NBA Los Angeles Lakers UT500 zwart,"€15,99",https://contents.mediadecathlon.com/p2331276/k$c1b375a1c675d3b4207667ef9132dbbf/sq/mouwloos-ondershirt-voor-basketbal-kinderen-nba-los-angeles-lakers-ut500-zwart.jpg?format=auto&f=800x0,"['Eigenlijk een ander shirt besteld, deze als vervanging. Prima service', 'Bonne qualité']",black
Kinderthermoshirt voor skiën BL500 print parcours,"€7,99",https://contents.mediadecathlon.com/p2264918/k$2a75d8349534280e8d44b799aec7a5f9/sq/kinderthermoshirt-voor-skien-bl500-print-parcours.jpg?format=auto&f=800x0,[],lavender
Heat Keeper Thermoset Dames Premium - Thermoshirt + Thermo Legging - Zwart,"€33,95",https://contents.mediadecathlon.com/m9019619/k$7bc8e1ec2b5971958805b67892aad18e/sq/heat-keeper-thermoset-dames-premium-thermoshirt-thermo-legging-zwart.jpg?format=auto&f=800x0,"['Mooie kleur, zit fijn en is lekker warm', 'Goede kwaliteit']",darkslategray
Thermoshirt voor skiën dames 500 wit,"€14,99",https://contents.mediadecathlon.com/p1871274/k$21dc0c6b9ab6e8165b81a2e1fe640a07/sq/thermoshirt-voor-skien-dames-500-wit.jpg?format=auto&f=800x0,"['四件小童薄籃球衣服收在一中型紙箱內，打開後發現像一堆垃圾一樣，衣服被弄得皺成一團！\n質料 fitting 都如預期', 'Super']",NA
FIETSONDERSHIRT ESSENTIAL ZWART,"€9,99",https://contents.mediadecathlon.com/p2186982/k$4704a70918f9484687aeba7bb11087dc/sq/fietsondershirt-essential-zwart.jpg?format=auto&f=800x0,"['Das Shirt kommt sehr oft zum Einsatz und ist auch nach mehrmaligem Waschen noch wie neu. Tolle Qualität zu einem richtig tollen Preis! Mein Sohn liebt dieses Shirt!', 'Jetzt treibt mein Sohn fast täglich Basketball, weil das Shirt so super ist… werd wohl noch zwei-drei holen müssen… super zufrieden']",darkslategray
Thermoshirt voor skiën voor kinderen BL 500 1/2 rits blauw,"€14,99",https://contents.mediadecathlon.com/p2035790/k$dbb01350fd3406c8309cc8560b1c0d1f/sq/thermoshirt-voor-skien-voor-kinderen-bl-500-12-rits-blauw.jpg?format=auto&f=800x0,[],darkslategray
Hardloopshirt voor heren winter Skincare lange mouwen rood ltd,"€17,99",https://contents.mediadecathlon.com/p2308910/k$afbc4963236005f1b91c8df9ff48682c/sq/hardloopshirt-voor-heren-winter-skincare-lange-mouwen-rood-ltd.jpg?format=auto&f=800x0,[],whitesmoke
Wielren thermoshirt heren Roadr 920 Extreme met lange mouwen zwart,"€38,99",https://contents.mediadecathlon.com/p1515063/k$54cedc425cceade23aacc5eb14e2b197/sq/wielren-thermoshirt-heren-roadr-920-extreme-met-lange-mouwen-zwart.jpg?format=auto&f=800x0,"['Tshirt léger agréable au porté', 'trés satisfait : léger chaud même mouillé.utilisation ski de rando et ski de fond.en 1ere couche + seulement une autre couche coupe vent moyennement chaude (par -6°)']",NA
Thermoshirt voor skiën dames BL980 superademend blauw,"€49,99",https://contents.mediadecathlon.com/p2295432/k$00518a7c7441d40ba4cf2d511b6d965e/sq/thermoshirt-voor-skien-dames-bl980-superademend-blauw.jpg?format=auto&f=800x0,"['Warm!', 'Wat mindert wartm']",lightblue
Thermoshirt kind lange mouwen Keepcomfort grijs,"€9,99",https://contents.mediadecathlon.com/p1681914/k$4bba22016fc47abe59a8b5ce9e0a5d47/sq/thermoshirt-kind-lange-mouwen-keepcomfort-grijs.jpg?format=auto&f=800x0,[],darkslategray
Mesh fietsondershirt voor dames warm weer wit,"€14,99",https://contents.mediadecathlon.com/p2465009/k$2f99b6e2e53ecec87927e083b38f4c7c/sq/mesh-fietsondershirt-voor-dames-warm-weer-wit.jpg?format=auto&f=800x0,"['Gemakkelijk digitaal te bestellen. Snel correct geleverd.', 'I wanted to buy but I need to know what my clothes are made of.']",gainsboro
Rashguard MMA / Grappling 500,"€29,99",https://contents.mediadecathlon.com/p2190279/k$331b9832f59ff1bfee36a3487354c7e2/sq/rashguard-mma-grappling-500.jpg?format=auto&f=800x0,['Broek is van een slechte kwaliteit. De naad aan de bovenkant zat blijkbaar los. Na 1 keer aan doen valt de broek uit elkaar.'],whitesmoke
Heatkeeper thermo heren antraciet broek/shirt set,"€26,95",https://contents.mediadecathlon.com/m7807879/k$6b6087ee8fd913f7f39cd0a42004cf30/sq/heatkeeper-thermo-heren-antraciet-broekshirt-set.jpg?format=auto&f=800x0,[],darkslategray
Heat Keeper Thermoshirt Lange Mouw Dames Premium Zwart Melange,"€19,95",https://contents.mediadecathlon.com/m4498359/k$8a20b2cfcc5a009eebb94d8bb20b769c/sq/heat-keeper-thermoshirt-lange-mouw-dames-premium-zwart-melange.jpg?format=auto&f=800x0,[],darkslategray
Ademend shirt voor atletiek kinderen Skincare lange mouwen marineblauw,"€14,99",https://contents.mediadecathlon.com/p2309401/k$b3fca5c65f31d5b573e2be29d7dfe3f5/sq/ademend-shirt-voor-atletiek-kinderen-skincare-lange-mouwen-marineblauw.jpg?format=auto&f=800x0,[],lavender
Fiets thermoshirt dames met lange mouwen 500 grijs,"€16,99",https://contents.mediadecathlon.com/p1231364/k$66eea37cc2dacc7e9e4c7c514d6d49da/sq/fiets-thermoshirt-dames-met-lange-mouwen-500-grijs.jpg?format=auto&f=800x0,[],dimgray
Ademend hardloop T-shirt voor heren Skincare royal blue limited edition,"€19,99",https://contents.mediadecathlon.com/p2197046/k$d56379a3af823551cb32d09e2690076e/sq/ademend-hardloop-t-shirt-voor-heren-skincare-royal-blue-limited-edition.jpg?format=auto&f=800x0,[],lavender
Heatkeeper thermo dames broek/shirt set zwart,"€33,95",https://contents.mediadecathlon.com/m8062079/k$611e4ff066dd082ad65eb541633f880c/sq/heatkeeper-thermo-dames-broekshirt-set-zwart.jpg?format=auto&f=800x0,[],darkslategray
Mouwloos ondershirt voor basketbal volwassenen NBA Los Angeles Lakers UT500 zwart,"€19,99",https://contents.mediadecathlon.com/p2333393/k$75c9aba196a762be6910e8cda58e36a0/sq/mouwloos-ondershirt-voor-basketbal-volwassenen-nba-los-angeles-lakers-ut500-zwart.jpg?format=auto&f=800x0,"['Zit zeer goed, lekker warm. Aangenaam om dragen', 'top shirt']",whitesmoke
Heat Keeper Thermoshirt Lange Mouw Heren Premium Zwart Melange,"€19,95",https://contents.mediadecathlon.com/m4498307/k$0cefb78eb78fad44e0301e3220f826dc/sq/heat-keeper-thermoshirt-lange-mouw-heren-premium-zwart-melange.jpg?format=auto&f=800x0,[],NA
Ondershirt voor zeilen dames Race 500 grijs,"€19,99",https://contents.mediadecathlon.com/p1056550/k$239e1c948b87a2da1362a252327f1a5d/sq/ondershirt-voor-zeilen-dames-race-500-grijs.jpg?format=auto&f=800x0,"['Super kwaliteit', 'Blijft mooi in de was']",darkgray
Technisch langlaufondershirt voor dames XC S UW 900 blauw,"€29,99",https://contents.mediadecathlon.com/p2017249/k$522d50b1d57eaaacaa0be72c7e29f50d/sq/technisch-langlaufondershirt-voor-dames-xc-s-uw-900-blauw.jpg?format=auto&f=800x0,[],darkslategray
Thermoshirt kind | Thermokleding kind | Wedze 100 | Wit,"€5,99",https://contents.mediadecathlon.com/p1861222/k$ad8c1d85f7c4d31dd00abd7fd422947d/sq/thermoshirt-kind-thermokleding-kind-wedze-100-wit.jpg?format=auto&f=800x0,"['Heel strak en fijn shirt. Bij warm weer is deze zeer geschikt.\nValt een beetje klein uit. Moet er een beetje aan wennen bij een activiteit.\nMaar het product voldoet.', 'Geen']",gainsboro
Thermoshirt voor skiën heren BL 980 seamless blauw/grijs,"€49,99",https://contents.mediadecathlon.com/p2295475/k$1ae03f85bf2b69f5bfe16726148430c4/sq/thermoshirt-voor-skien-heren-bl-980-seamless-blauwgrijs.jpg?format=auto&f=800x0,[],darkslategray
Thermoshirt voor skiën voor heren BL 500 marineblauw,"€14,99",https://contents.mediadecathlon.com/p1860724/k$68e5ef52a57b3f27bd7c1487af0b1af5/sq/thermoshirt-voor-skien-voor-heren-bl-500-marineblauw.jpg?format=auto&f=800x0,"['Veel te klein', 'Warm maar niet te .']",darkslategray
